	Location	Link	Job Description	Experience	Skills	Organization
27	Chennai	https://www.naukri.com/job-listings-Machine-Learning-Engineer-Ondot-Systems-India-Pvt-Ltd-Chennai-8-to-12-years-010818003781?src=jobsearchDesk&sid=15361454729419&xp=28&px=1	 SQL, Oracle, Unix, Linux, Shell scripting, Python, Filenet, Ruby... 	8-12 yrs	Software Development, Software Engineering, Machine Learning...	Ondot Systems India Pvt Ltd
28	Chennai	https://www.naukri.com/job-listings-Hiring-for-AI-artificial-Intelligence-and-Machine-Learning-Gisbiz-Technologies-Pvt-Ltd-Chennai-5-to-10-years-300818003482?src=jobsearchDesk&sid=15361454729419&xp=29&px=1	Must have Skills :Machine LearningGood to Have Skills : No Technology SpecialtyJob Requirements :Role: ...	5-10 yrs	Machine Learning, Natural Language Processing, Python, NLP...	Gisbiz Technologies Pvt Ltd
29	Chennai	https://www.naukri.com/job-listings-Openings-for-Machine-Learning-at-Merit-Software-Services-Pvt-Ltd-Merit-Software-Services-Pvt-Ltd-Chennai-5-to-10-years-290818002787?src=jobsearchDesk&sid=15361454729419&xp=30&px=1	 Python, Analytics, Machine learning, Business process, Outsourcing... 	5-10 yrs	Deep Learning, Natural Language Processing, Machine Learning, Java, Python,...	Merit Software Services Pvt. Ltd.
30	Bengaluru	https://www.naukri.com/job-listings-Data-Scientist-machine-Learning-nlp-R-Programming-Python-Careernet-Technologies-Pvt-Ltd-Bengaluru-3-to-8-years-010918003244?src=jobsearchDesk&sid=15361454729419&xp=31&px=1	Accenture Technology powers our clients businesses with innovative technologies established and emerging ...	3-8 yrs	deep learning, hadoop, natural language processing, spark, data science...	Careernet Technologies Pvt Ltd
31	Mumbai	https://www.naukri.com/job-listings-Data-Scientist-Machine-Learning-Data-Mining-Leonard-Consultancy-LLP-Mumbai-1-to-4-years-310818901127?src=jobsearchDesk&sid=15361454729419&xp=32&px=1	 Machine Learning Scientist, Machine Learning, Computer Vision, programming,... 	1-4 yrs	Hive, HBase, NoSQL, Pig, Cassandra, SQL, Machine Learning, Data Science...	Leonard Consultancy LLP
32	Bengaluru	https://www.naukri.com/job-listings-Manager-Lead-Machine-Learning-Analytics-Catalyst-Bengaluru-6-to-11-years-250618900131?src=jobsearchDesk&sid=15361454729419&xp=33&px=1	- 2+ years of hands on experience in building machine learning systems for large data sets;- Experience ...	6-11 yrs	machine learning, team leading, Analytics, Natural Language Processing...	Catalyst
33	Mumbai	https://www.naukri.com/job-listings-Data-Science-machine-Learning-NLP-SAS-R-Mongodb-nosql-Careernet-Technologies-Pvt-Ltd-Mumbai-7-to-11-years-060718006716?src=jobsearchDesk&sid=15361454729419&xp=34&px=1	 machine learning, r, engine calibration, java, c++, ensemble modeling... 	7-11 yrs	hadoop, nosql, data science, nlp, sql, r, MongoDB, Machine Learning...	Careernet Technologies Pvt Ltd
34	Bengaluru	https://www.naukri.com/job-listings-General-Manager-vice-President-Machine-Learning-Product-Firm-Brilliant-Seeker-Services-Bengaluru-14-to-22-years-310818900450?src=jobsearchDesk&sid=15361454729419&xp=35&px=1	- A proven track record managing a team of engineers, and academic and/or industry experience in fields ...	14-22 yrs	C, C++, Computer Vision, Opencv, MATLAB, Algorithms, Deep Learning, Python,...	Brilliant Seeker Services
35	Bengaluru	https://www.naukri.com/job-listings-Deep-Learning-Engineer-Machine-Learning-Intello-Labs-Startup-Bengaluru-2-to-5-years-310818900312?src=jobsearchDesk&sid=15361454729419&xp=36&px=1	 Java, Neo4J, Elastic Search, Spring, SCALA, Rest, Python, Cassandra... 	2-5 yrs	deep learning, python, java, machine learning, ruby, image processing...	Intello Labs - Startup
36	Mumbai	https://www.naukri.com/job-listings-Data-Scientist-Machine-Learning-artificial-Intelligence-The-Hiring-Story-Mumbai-4-to-8-years-300818901547?src=jobsearchDesk&sid=15361454729419&xp=37&px=1	- Experience or understanding in building web crawlers, data fetching bots etc;- Computer Science degree ...	4-8 yrs	Data Science, Machine Learning, Artificial Intelligence, Data Analysis...	The Hiring Story
37	Bengaluru	https://www.naukri.com/job-listings-Machine-Learning-Accenture-Bengaluru-2-to-4-years-300818901090?src=jobsearchDesk&sid=15361454729419&xp=38&px=1	 Deep Learning, Computer Vision, Algorithms, Machine Learning... 	2-4 yrs	SQL, Python, SAS, MATLAB, Analytics, Machine learning, Business process...	Accenture
